t	Theta Euler	Energy
178.08	-0.159923	0.026901
178.29	-0.195238	0.0271296
178.5	-0.222018	0.027839
178.71	-0.239063	0.0289245
178.92	-0.245602	0.0302164
179.13	-0.241323	0.0315046
179.34	-0.226392	0.0325728
179.55	-0.201446	0.0332374
179.76	-0.167565	0.0333849
179.97	-0.126222	0.0329963
180.18	-0.0792262	0.0321524
180.39	-0.0286379	0.0310176
180.6	0.0233196	0.0298059
180.81	0.0743579	0.0287403
181.02	0.122224	0.0280131
181.23	0.164801	0.0277558
181.44	0.200199	0.0280218
181.65	0.226843	0.0287793
181.86	0.243539	0.0299163
182.07	0.24953	0.031255
182.28	0.24453	0.0325773
182.49	0.228735	0.0336605
182.7	0.20282	0.0343182
182.91	0.167905	0.0344381
183.12	0.125514	0.0340065
183.33	0.0774974	0.0331127
183.54	0.0259628	0.0319306
183.75	-0.026825	0.030683
183.96	-0.0785407	0.0295992
184.17	-0.126901	0.0288743
184.38	-0.169767	0.0286396
