t	Theta Euler	Energy
7.16	0.0373051	0.00142344
7.17	0.0369236	0.00142065
7.18	0.0365392	0.00141781
7.19	0.0361518	0.00141492
7.2	0.0357616	0.00141199
7.21	0.0353685	0.00140902
7.22	0.0349726	0.001406
7.23	0.034574	0.00140294
7.24	0.0341727	0.00139983
7.25	0.0337687	0.00139669
7.26	0.0333622	0.0013935
7.27	0.032953	0.00139026
7.28	0.0325414	0.00138699
7.29	0.0321272	0.00138367
7.3	0.0317107	0.00138032
7.31	0.0312917	0.00137692
7.32	0.0308705	0.00137349
7.33	0.0304469	0.00137002
7.34	0.0300211	0.0013665
7.35	0.0295931	0.00136296
7.36	0.029163	0.00135937
7.37	0.0287308	0.00135575
7.38	0.0282965	0.00135209
7.39	0.0278602	0.0013484
7.4	0.0274219	0.00134467
7.41	0.0269818	0.00134091
7.42	0.0265398	0.00133712
7.43	0.0260959	0.00133329
7.44	0.0256503	0.00132943
7.45	0.025203	0.00132555
7.46	0.024754	0.00132163
7.47	0.0243034	0.00131768
7.48	0.0238512	0.00131371
7.49	0.0233975	0.0013097
7.5	0.0229423	0.00130567
7.51	0.0224857	0.00130162
7.52	0.0220277	0.00129753
7.53	0.0215684	0.00129343
7.54	0.0211078	0.0012893
7.55	0.0206459	0.00128515
7.56	0.0201829	0.00128097
7.57	0.0197187	0.00127678
7.58	0.0192535	0.00127256
7.59	0.0187871	0.00126833
7.6	0.0183198	0.00126407
7.61	0.0178516	0.0012598
7.62	0.0173825	0.00125551
7.63	0.0169125	0.00125121
7.64	0.0164417	0.00124689
7.65	0.0159702	0.00124256
7.66	0.0154979	0.00123821
7.67	0.015025	0.00123385
7.68	0.0145515	0.00122948
7.69	0.0140775	0.0012251
7.7	0.0136029	0.00122071
7.71	0.0131279	0.00121631
7.72	0.0126525	0.0012119
7.73	0.0121767	0.00120749
7.74	0.0117006	0.00120307
7.75	0.0112243	0.00119864
7.76	0.0107477	0.00119422
7.77	0.0102709	0.00118978
7.78	0.00979404	0.00118535
7.79	0.0093171	0.00118091
7.8	0.00884013	0.00117648
7.81	0.00836318	0.00117204
7.82	0.0078863	0.00116761
7.83	0.00740954	0.00116317
7.84	0.00693294	0.00115875
7.85	0.00645655	0.00115432
7.86	0.00598043	0.0011499
7.87	0.00550461	0.00114549
7.88	0.00502914	0.00114108
7.89	0.00455408	0.00113668
7.9	0.00407946	0.00113229
7.91	0.00360534	0.00112791
7.92	0.00313176	0.00112353
7.93	0.00265876	0.00111917
7.94	0.0021864	0.00111482
7.95	0.00171471	0.00111049
7.96	0.00124375	0.00110617
7.97	0.00077356	0.00110186
7.98	0.000304186	0.00109757
7.99	-0.000164327	0.00109329
8	-0.000631932	0.00108903
8.01	-0.00109859	0.00108479
8.02	-0.00156424	0.00108057
8.03	-0.00202886	0.00107636
8.04	-0.00249239	0.00107218
8.05	-0.00295479	0.00106802
8.06	-0.00341602	0.00106388
8.07	-0.00387603	0.00105976
8.08	-0.00433478	0.00105566
8.09	-0.00479222	0.00105159
8.1	-0.00524831	0.00104754
8.11	-0.00570301	0.00104352
8.12	-0.00615628	0.00103953
8.13	-0.00660807	0.00103556
8.14	-0.00705835	0.00103162
8.15	-0.00750706	0.0010277
8.16	-0.00795417	0.00102382
8.17	-0.00839963	0.00101996
8.18	-0.0088434	0.00101614
8.19	-0.00928545	0.00101234
8.2	-0.00972573	0.00100858
8.21	-0.0101642	0.00100485
8.22	-0.0106008	0.00100115
8.23	-0.0110356	0.000997482
8.24	-0.0114684	0.000993849
8.25	-0.0118992	0.000990249
8.26	-0.012328	0.000986684
8.27	-0.0127548	0.000983154
8.28	-0.0131795	0.00097966
8.29	-0.0136021	0.000976201
8.3	-0.0140225	0.000972779
8.31	-0.0144407	0.000969394
8.32	-0.0148566	0.000966046
8.33	-0.0152703	0.000962735
8.34	-0.0156817	0.000959463
8.35	-0.0160907	0.000956229
8.36	-0.0164973	0.000953034
8.37	-0.0169016	0.000949878
8.38	-0.0173033	0.000946762
8.39	-0.0177026	0.000943685
8.4	-0.0180993	0.000940649
8.41	-0.0184935	0.000937653
8.42	-0.0188851	0.000934697
8.43	-0.019274	0.000931783
8.44	-0.0196603	0.00092891
8.45	-0.0200439	0.000926078
8.46	-0.0204247	0.000923288
8.47	-0.0208028	0.00092054
8.48	-0.021178	0.000917834
8.49	-0.0215505	0.00091517
8.5	-0.0219201	0.000912548
8.51	-0.0222868	0.000909969
8.52	-0.0226505	0.000907433
8.53	-0.0230113	0.000904939
